edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-117914848#5,20.0,20.0,20.0,52.62
-117914848#6,22.0,21.0,22.0,22.54
-117914848#7,23.0,52.0,52.0,107.32
-1205679418#0,41.0,43.0,43.0,78.4
-1205679418#1,41.0,41.0,41.0,97.81
-1205679418#10,40.0,40.0,40.0,224.91
-1205679418#12,145.0,147.0,147.0,48870.41
-1205679418#14,32.0,34.0,34.0,1512.18
-1205679418#2,44.0,44.0,44.0,72.28
-1205679418#3,45.0,45.0,45.0,69.5
-1205679418#4,43.0,43.0,43.0,76.76
-1205679418#5,43.0,43.0,43.0,72.29
-1205679418#7,40.0,40.0,40.0,100.78
-1274416500,0.0,2.0,2.0,17.88
-1283636934#0,2.0,2.0,2.0,321.72
-1291318446,30.0,30.0,30.0,181.76
-1339655670#2,6.0,0.0,6.0,20.63
-1380482780,0.0,0.0,0.0,0.0
-1380857657#0,2.0,2.0,2.0,9.06
-1380857657#1,0.0,2.0,2.0,3.64
-1380857658,0.0,0.0,0.0,0.0
-1381133418,1.0,3.0,3.0,184.83
-1384048167,0.0,0.0,0.0,0.0
-1424068313#0,128.0,128.0,128.0,441.02
-1424068313#5,133.0,136.0,136.0,1113.8
-1424068314#4,0.0,0.0,0.0,0.0
-1455497346,18.0,16.0,18.0,116.9
-1455512067,23.0,27.0,27.0,41.71
-1455512069,690.0,637.0,690.0,15153.35
-1455512070,589.0,526.0,589.0,160556.74
-1455512074,66.0,63.0,66.0,6848.58
-1455518726,259.0,259.0,259.0,4358.15
-1455518727#0,40.0,40.0,40.0,10787.28
-1455518727#2,40.0,37.0,40.0,141.18
-1455518728,62.0,76.0,76.0,226.1
-1455518729#0,257.0,256.0,257.0,12519.11
-1455518729#1,255.0,253.0,255.0,4995.41
-1455518729#2,252.0,264.0,264.0,1848.81
-1455518729#4,245.0,250.0,250.0,2098.8
-1455518729#5,242.0,242.0,242.0,538.14
-1455518729#6,242.0,242.0,242.0,1099.82
-1455518729#7,255.0,255.0,255.0,811.79
-1455524945,31.0,36.0,36.0,22.76
-1455524946,38.0,36.0,38.0,69.33
-1455524947#0,4.0,4.0,4.0,27.02
-1455524947#1,0.0,0.0,0.0,0.0
-1455524947#2,1.0,0.0,1.0,2.31
-1455526421,50.0,50.0,50.0,57.52
-1455526422,50.0,48.0,50.0,81.61
-1455526423,51.0,51.0,51.0,244.15
-1455526425#1,51.0,50.0,51.0,291.07
-1455527229,0.0,0.0,0.0,0.0
-1456115794,4.0,1.0,4.0,29.07
-1456115802,10.0,1.0,10.0,58.29
-1456115806#0,7.0,20.0,20.0,460.87
-1456115806#2,8.0,8.0,8.0,17.31
-1499619438#0,332.0,332.0,332.0,212.23
-1506939325#7,3.0,0.0,3.0,8.38
-1506939325#9,16.0,17.0,17.0,32.36
-156570776,2.0,14.0,14.0,53.82
-170207585#0,0.0,4.0,4.0,47.17
