edge_id,actual_entered_count,actual_left_count,actual_screenline_count,sampled_seconds
-327035698#0,3.0,3.0,3.0,12.74
-327035698#1,2.0,2.0,2.0,6.58
-327035698#3,5.0,5.0,5.0,35.22
-327035699#1,0.0,3.0,3.0,21.22
-327035700#0,5.0,6.0,6.0,43.63
-327035700#1,19.0,19.0,19.0,72.2
-327035702#0,4.0,4.0,4.0,8.73
-327035702#1,4.0,4.0,4.0,10.73
-327035702#5,14.0,4.0,14.0,85.49
-327040896,1.0,0.0,1.0,6.99
-329612996,3.0,4.0,4.0,697.18
-329995227#0,4.0,6.0,6.0,29.41
-329995227#1,7.0,8.0,8.0,66.0
-329995227#2,6.0,9.0,9.0,52.04
-329995230#0,26.0,26.0,26.0,468.51
-329995230#1,19.0,21.0,21.0,72.98
-329995230#2,7.0,8.0,8.0,31.25
-329995231#0,3.0,1.0,3.0,17.03
-329995231#1,6.0,5.0,6.0,28.76
-333554714#1,1.0,13.0,13.0,79.26
-344645186,6.0,7.0,7.0,60.82
-344645187,17.0,19.0,19.0,159.62
-344663874,0.0,1.0,1.0,17.43
-344663901#3,0.0,0.0,0.0,0.0
-344663909#1,190.0,0.0,190.0,716.0
-344663909#5,0.0,2.0,2.0,229.42
-345046979#3,475.0,469.0,475.0,2934.38
-345046979#5,478.0,476.0,478.0,2406.17
-348626442,2.0,1.0,2.0,23.52
-348626444#0,19.0,19.0,19.0,1566.91
-348626444#2,0.0,7.0,7.0,39.7
-348626444#3,0.0,1.0,1.0,5.1
-348648522,0.0,0.0,0.0,0.0
-348659730,2.0,2.0,2.0,27.48
-351672095#1,0.0,0.0,0.0,0.0
-351672100#2,5.0,2.0,5.0,66.63
-351672100#4,22.0,22.0,22.0,127.09
-37399598#1,9.0,8.0,9.0,27.63
-37399598#2,7.0,7.0,7.0,34.54
-37399598#3,0.0,0.0,0.0,0.0
-37399924#1,52.0,54.0,54.0,220.85
-37399924#11,3.0,3.0,3.0,13.54
-37399924#2,50.0,52.0,52.0,244.53
-37399924#4,34.0,37.0,37.0,146.6
-37399924#5,23.0,23.0,23.0,31.21
-37399924#7,22.0,21.0,22.0,130.32
-37399924#8,8.0,16.0,16.0,108.32
-37399924#9,3.0,3.0,3.0,9.26
-37402180#2,1.0,0.0,1.0,0.7
-37403486#2,36.0,35.0,36.0,139.02
-37403487#1,53.0,53.0,53.0,231.27
-375125209,36.0,47.0,47.0,248.82
-37928420#2,279.0,274.0,279.0,48915.11
-381226320,3.0,2.0,3.0,14.64
-381226321,1.0,0.0,1.0,2.01
-381226322#1,35.0,35.0,35.0,253.76
-381226322#3,34.0,33.0,34.0,114.09
-381226322#4,33.0,33.0,33.0,237.27
-381226323,2.0,1.0,2.0,7.04
-381226325,8.0,7.0,8.0,37.72
-381230507#0,14.0,13.0,14.0,108.64
-381230507#4,11.0,6.0,11.0,61.6
-381447817#0,2.0,2.0,2.0,16.39
-381447817#1,0.0,0.0,0.0,0.0
-381447818,0.0,0.0,0.0,0.0
-381447820,1.0,0.0,1.0,3.31
-381447822,1.0,1.0,1.0,9.47
-381447823#1,3.0,2.0,3.0,96.86
-381447824,0.0,0.0,0.0,0.0
-381447826,0.0,0.0,0.0,0.0
-381447829#0,2.0,0.0,2.0,18.61
-381447831#0,1.0,0.0,1.0,3.36
-381447831#1,3.0,1.0,3.0,6.07
-381447832,11.0,9.0,11.0,158.33
-381447833#0,0.0,0.0,0.0,0.0
-381447833#1,51.0,51.0,51.0,530.56
-381447834#0,0.0,0.0,0.0,0.0
-381447834#1,0.0,0.0,0.0,0.0
-381447836#0,0.0,0.0,0.0,0.0
-381447836#2,4.0,3.0,4.0,11.3
-381447836#3,0.0,0.0,0.0,0.0
-381452097#1,2.0,3.0,3.0,51.24
-381452097#2,0.0,0.0,0.0,0.0
-381452097#3,0.0,0.0,0.0,0.0
-381452098#0,0.0,7.0,7.0,109.64
-381452099,0.0,0.0,0.0,0.0
-381452101#0,6.0,6.0,6.0,27.59
-381452101#1,2.0,6.0,6.0,41.49
-381452101#2,2.0,2.0,2.0,4.96
-381452101#3,4.0,3.0,4.0,7.53
-381452103#0,97.0,99.0,99.0,43783.04
-381452103#2,46.0,56.0,56.0,18212.94
-381452104#0,8.0,8.0,8.0,1855.72
-381452104#1,7.0,7.0,7.0,12.38
-381452104#2,3.0,3.0,3.0,46.82
-381452106#0,2.0,4.0,4.0,31.63
-381452106#1,2.0,2.0,2.0,1.02
-381452106#3,3.0,2.0,3.0,1.09
-381452106#4,5.0,3.0,5.0,15.35
-381452106#6,8.0,8.0,8.0,64.72
-381452108#0,20.0,20.0,20.0,13302.52
-381452108#1,4.0,7.0,7.0,1578.35
-381452108#3,4.0,4.0,4.0,25.41
-381452108#4,2.0,4.0,4.0,4.95
-381452108#5,4.0,3.0,4.0,17.59
-381452110,0.0,0.0,0.0,0.0
-381452111,0.0,0.0,0.0,0.0
-381452112,2.0,0.0,2.0,4.29
