route_id,transition_index,from_edge_id,to_edge_id,turn_angle_deg,turn_class
ER_ACC_010,22,1455512071,428260116#1,4.392,normal
ER_ACC_010,23,428260116#1,1455518728,1.228,normal
ER_ACC_010,24,1455518728,-198564928#28,88.916,normal
ER_ACC_010,25,-198564928#28,-198564928#27,0.901,normal
ER_ACC_010,26,-198564928#27,-198564928#26,0.747,normal
ER_ACC_010,27,-198564928#26,-395564622#2,91.911,normal
ER_ACC_010,28,-395564622#2,-395564622#1,0.42,normal
ER_ACC_010,29,-395564622#1,-395564622#0,32.821,normal
ER_ACC_010,30,-395564622#0,-1456115806#2,6.307,normal
ER_ACC_010,31,-1456115806#2,-1456115806#0,4.431,normal
ER_ACC_010,32,-1456115806#0,1456115804#0,68.065,normal
ER_ACC_010,33,1456115804#0,1456115804#1,0.06,normal
ER_ACC_010,34,1456115804#1,117784418#0,90.612,normal
ER_ACC_011,1,-381802881#2,-381802847#2,68.415,normal
ER_ACC_011,2,-381802847#2,-183272625#1,83.113,normal
ER_ACC_011,3,-183272625#1,-174870621#2,80.198,normal
ER_ACC_011,4,-174870621#2,-174870621#0,6.265,normal
ER_ACC_011,5,-174870621#0,578313748#0,9.983,normal
ER_ACC_011,6,578313748#0,578313748#2,2.534,normal
ER_ACC_011,7,578313748#2,800229255,1.08,normal
ER_ACC_011,8,800229255,180368918#0,2.43,normal
ER_ACC_011,9,180368918#0,180368918#3,0.87,normal
ER_ACC_011,10,180368918#3,180368918#5,2.577,normal
ER_ACC_011,11,180368918#5,180368918#6,0.01,normal
ER_ACC_011,12,180368918#6,180368918#7,1.311,normal
ER_ACC_011,13,180368918#7,180368918#8,2.333,normal
ER_ACC_011,14,180368918#8,218773868#0,1.645,normal
ER_ACC_011,15,218773868#0,218773868#2,6.453,normal
ER_ACC_011,16,218773868#2,218773868#3,0.227,normal
ER_ACC_011,17,218773868#3,218773868#4,1.127,normal
ER_ACC_011,18,218773868#4,218773868#5,0.019,normal
ER_ACC_011,19,218773868#5,218773868#6,0.918,normal
ER_ACC_011,20,218773868#6,-1455512070,1.016,normal
ER_ACC_011,21,-1455512070,-1455512069,1.265,normal
ER_ACC_011,22,-1455512069,428260110,2.189,normal
ER_ACC_011,23,428260110,785130600#0,5.536,normal
ER_ACC_011,24,785130600#0,785130600#1,8.278,normal
ER_ACC_011,25,785130600#1,785130600#2,4.928,normal
ER_ACC_011,26,785130600#2,785130600#3,1.533,normal
ER_ACC_011,27,785130600#3,1455497345,1.122,normal
ER_ACC_011,28,1455497345,218773869#1,1.649,normal
ER_ACC_011,29,218773869#1,218773869#3,1.256,normal
ER_ACC_011,30,218773869#3,218773869#4,1.01,normal
ER_ACC_011,31,218773869#4,218773869#5,2.551,normal
ER_ACC_011,32,218773869#5,218773869#6,2.396,normal
ER_ACC_011,33,218773869#6,218773869#7,5.435,normal
ER_ACC_011,34,218773869#7,218773869#8,20.278,normal
ER_ACC_011,35,218773869#8,219696193#0,7.83,normal
ER_ACC_011,36,219696193#0,219696193#1,0.251,normal
ER_ACC_011,37,219696193#1,219696193#2,5.563,normal
ER_ACC_011,38,219696193#2,781985793#0,11.902,normal
ER_ACC_011,39,781985793#0,180368915#0,10.05,normal
